Lateral,Longitudinal,GDP_Scenario,Peak_Speed_mps,Speed_Mode,RMS_CTE_m,Peak_CTE_m,RMS_Heading_Err_deg,RMS_Speed_Err_mps,Peak_Speed_Err_mps,Peak_Lon_Dev_m,RMS_Lon_Dev_m,Loop_Time_s,Goal_Reached,Termination,REQ1_Lat_Pass,REQ1_Lon_Pass,Overall_Pass
stanley,lqr,GDP-S3-EXT,10,constant,680.4404,1222.7657,56.4305,1.2516,9.4929,23.5029,4.4535,150,false,max_travel_time,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S1,0.5,constant,8.8451,27.1434,50.7761,0.0582,0.1015,2.3797,1.7473,400,false,max_travel_time,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S2,2,constant,0.603,2.0227,3.0225,0.0948,1.4929,1.1979,0.1911,174.8,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S3,3,profile,0.3535,1.3017,6.9477,0.1726,2.4534,2.0712,0.3786,250,false,max_travel_time,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S3,4,profile,0.6738,2.0282,3.3949,0.2773,2.9908,2.95,0.6024,139.95,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S3,5,profile,0.6865,2.0134,3.4387,0.3437,3.2708,3.6139,0.8307,134.6,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S3,7,profile,0.8466,2.4948,4.1238,0.5087,3.4444,4.4757,1.3117,94,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S3-EXT,10,constant,1.3928,4.6667,8.7443,2.6529,9.4929,23.5221,9.1471,35.05,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S1,0.5,constant,8.7236,26.8821,50.6872,0.0555,0.0846,0.5696,0.4314,400,false,max_travel_time,FAIL,PASS,FAIL
pure_pursuit,lqr,GDP-S2,2,constant,0.6031,2.0159,3.0267,0.0751,1.4929,0.7375,0.1188,174.8,true,goal_reached,FAIL,PASS,FAIL
pure_pursuit,lqr,GDP-S3,3,profile,0.495,1.2889,8.8147,0.1361,2.4534,1.8206,0.1987,250,false,max_travel_time,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S3,4,profile,0.6748,2.0314,3.3784,0.2363,2.9908,2.8079,0.3911,139.75,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S3,5,profile,0.6901,2.0388,3.4576,0.2847,3.2708,3.5398,0.5273,134.05,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S3,7,profile,0.8526,2.505,4.149,0.3944,3.4444,4.4396,0.8575,93.35,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S3-EXT,10,constant,1.496,4.9262,8.6515,2.5837,9.4929,23.5221,9.1748,35.15,true,goal_reached,FAIL,FAIL,FAIL
mpc,pid,GDP-S1,0.5,constant,0.17,0.3084,25.4811,0.0219,0.1058,0.9073,0.6993,400,false,max_travel_time,PASS,FAIL,FAIL
mpc,pid,GDP-S2,2,constant,0.0602,0.2068,2.0253,0.0948,1.4929,1.1961,0.2352,177.75,true,goal_reached,PASS,FAIL,FAIL
mpc,pid,GDP-S3,3,profile,0.0507,0.1339,8.8428,0.1741,2.4534,2.0654,0.3972,250,false,max_travel_time,PASS,FAIL,FAIL
mpc,pid,GDP-S3,4,profile,0.067,0.2071,2.2361,0.2743,2.9908,2.9477,0.6027,142.85,true,goal_reached,PASS,FAIL,FAIL
mpc,pid,GDP-S3,5,profile,0.0679,0.206,2.259,0.3397,3.2708,3.609,0.826,137.55,true,goal_reached,PASS,FAIL,FAIL
mpc,pid,GDP-S3,7,profile,0.0902,0.2799,2.6879,0.5,3.4444,4.4754,1.2974,96.5,true,goal_reached,PASS,FAIL,FAIL
mpc,pid,GDP-S3-EXT,10,constant,15.7905,26.3941,65.3342,1.3647,9.4929,23.5032,7.072,150,false,max_travel_time,FAIL,FAIL,FAIL
mpc,lqr,GDP-S1,0.5,constant,0.1705,0.3069,25.5326,0.0206,0.0914,0.2466,0.1757,400,false,max_travel_time,PASS,PASS,PASS
mpc,lqr,GDP-S2,2,constant,0.0603,0.2053,2.0145,0.0745,1.4929,0.7396,0.1224,177.8,true,goal_reached,PASS,PASS,PASS
mpc,lqr,GDP-S3,3,profile,0.0488,0.1099,8.6541,0.1316,2.4534,1.8216,0.193,250,false,max_travel_time,PASS,FAIL,FAIL
mpc,lqr,GDP-S3,4,profile,0.067,0.2069,2.2326,0.2339,2.9908,2.8063,0.3879,142.75,true,goal_reached,PASS,FAIL,FAIL
mpc,lqr,GDP-S3,5,profile,0.0686,0.2041,2.2783,0.2816,3.2708,3.5356,0.5219,137,true,goal_reached,PASS,FAIL,FAIL
mpc,lqr,GDP-S3,7,profile,0.0906,0.2762,2.6903,0.3892,3.4444,4.4421,0.8466,95.9,true,goal_reached,PASS,FAIL,FAIL
mpc,lqr,GDP-S3-EXT,10,constant,10.8058,24.5438,49.9952,2.1711,9.4929,23.5032,7.7648,50.4,true,goal_reached,FAIL,FAIL,FAIL
