Lateral,Longitudinal,GDP_Scenario,Peak_Speed_mps,Speed_Mode,RMS_CTE_m,Peak_CTE_m,RMS_Heading_Err_deg,RMS_Speed_Err_mps,Peak_Speed_Err_mps,Peak_Lon_Dev_m,RMS_Lon_Dev_m,Loop_Time_s,Goal_Reached,Termination,REQ1_Lat_Pass,REQ1_Lon_Pass,Overall_Pass
stanley,pid,GDP-S1,0.5,constant,110.0951,197.9077,36.7231,0.0688,0.1074,2.3531,2.1455,400,false,max_travel_time,FAIL,FAIL,FAIL
stanley,pid,GDP-S2,2,constant,235.1533,409.7072,56.2408,0.0796,1.4929,1.1964,0.1712,250,false,max_travel_time,FAIL,FAIL,FAIL
stanley,pid,GDP-S3,3,profile,166.7729,266.7338,53.434,0.1366,2.4534,2.0693,0.2894,250,false,max_travel_time,FAIL,FAIL,FAIL
stanley,pid,GDP-S3,4,profile,158.0996,266.0966,55.8194,0.2327,2.9908,2.943,0.4768,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,pid,GDP-S3,5,profile,154.3217,261.5646,55.372,0.2728,3.2708,3.6068,0.6186,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,pid,GDP-S3,7,profile,206.327,360.4467,53.0187,0.3349,3.4444,4.475,0.8541,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,pid,GDP-S3-EXT,10,constant,680.5777,1222.976,56.5326,1.2836,9.4929,23.5029,4.4337,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S1,0.5,constant,109.7559,197.4794,36.729,0.0661,0.0927,0.5725,0.5398,400,false,max_travel_time,FAIL,PASS,FAIL
stanley,lqr,GDP-S2,2,constant,232.2522,405.6672,55.825,0.0631,1.4929,0.7383,0.1134,250,false,max_travel_time,FAIL,PASS,FAIL
stanley,lqr,GDP-S3,3,profile,166.5019,266.405,53.429,0.1289,2.4534,1.8199,0.1829,250,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S3,4,profile,158.7866,266.952,55.85,0.2266,2.9908,2.8051,0.3702,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S3,5,profile,154.9715,262.3484,55.3724,0.2668,3.2708,3.5346,0.488,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S3,7,profile,207.4537,361.9159,53.0264,0.3081,3.4444,4.4413,0.6714,150,false,max_travel_time,FAIL,FAIL,FAIL
