Lateral,Longitudinal,GDP_Scenario,Peak_Speed_mps,Speed_Mode,RMS_CTE_m,Peak_CTE_m,RMS_Heading_Err_deg,RMS_Speed_Err_mps,Peak_Speed_Err_mps,Peak_Lon_Dev_m,RMS_Lon_Dev_m,Loop_Time_s,Goal_Reached,Termination,REQ1_Lat_Pass,REQ1_Lon_Pass,Overall_Pass
mpc,pid,GDP-S3,4,profile,0.0672,0.2064,2.2367,0.2604,2.9908,2.8063,0.3554,142.75,true,goal_reached,PASS,FAIL,FAIL
mpc,pid,GDP-S3,5,profile,0.0687,0.2068,2.2825,0.3134,3.2708,3.5356,0.4863,137,true,goal_reached,PASS,FAIL,FAIL
mpc,pid,GDP-S3,7,profile,0.0904,0.2807,2.6839,0.4306,3.4444,4.4421,0.809,95.9,true,goal_reached,PASS,FAIL,FAIL
mpc,pid,GDP-S3-EXT,10,constant,15.1492,25.746,62.6049,1.4584,9.4929,23.5032,4.4915,150,false,max_travel_time,FAIL,FAIL,FAIL
mpc,lqr,GDP-S1,0.5,constant,0.1706,0.3006,25.5771,0.0187,0.0736,0.1213,0.0507,400,false,max_travel_time,PASS,PASS,PASS
mpc,lqr,GDP-S2,2,constant,0.0602,0.2055,2.0054,0.0796,1.4929,0.7396,0.1054,177.85,true,goal_reached,PASS,PASS,PASS
mpc,lqr,GDP-S3,3,profile,0.0484,0.1031,8.6068,0.1411,2.4534,1.8216,0.1619,250,false,max_travel_time,PASS,FAIL,FAIL
mpc,lqr,GDP-S3,4,profile,0.0671,0.2107,2.2253,0.2459,2.9908,2.8063,0.3548,142.7,true,goal_reached,PASS,FAIL,FAIL
mpc,lqr,GDP-S3,5,profile,0.0689,0.2048,2.2791,0.296,3.2708,3.5356,0.4836,136.95,true,goal_reached,PASS,FAIL,FAIL
mpc,lqr,GDP-S3,7,profile,0.0904,0.279,2.6823,0.4077,3.4444,4.4421,0.8028,95.8,true,goal_reached,PASS,FAIL,FAIL
mpc,lqr,GDP-S3-EXT,10,constant,14.5344,24.0273,59.7677,1.3578,9.4929,23.5032,4.4075,150,false,max_travel_time,FAIL,FAIL,FAIL
