Lateral,Longitudinal,GDP_Scenario,Peak_Speed_mps,Speed_Mode,RMS_CTE_m,Peak_CTE_m,RMS_Heading_Err_deg,RMS_Speed_Err_mps,Peak_Speed_Err_mps,Peak_Lon_Dev_m,RMS_Lon_Dev_m,Loop_Time_s,Goal_Reached,Termination,REQ1_Lat_Pass,REQ1_Lon_Pass,Overall_Pass
stanley,pid,GDP-S1,0.5,constant,109.5652,197.0042,36.7361,0.0626,0.0843,0.3504,0.3391,400,false,max_travel_time,FAIL,PASS,FAIL
stanley,pid,GDP-S2,2,constant,232.1826,405.5719,55.816,0.0681,1.4929,0.7383,0.1012,250,false,max_travel_time,FAIL,PASS,FAIL
stanley,pid,GDP-S3,3,profile,166.2907,266.1521,53.4078,0.1418,2.4534,1.8199,0.1621,250,false,max_travel_time,FAIL,FAIL,FAIL
stanley,pid,GDP-S3,4,profile,158.3141,266.3639,55.8151,0.2519,2.9908,2.8051,0.3386,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,pid,GDP-S3,5,profile,154.6385,261.928,55.3518,0.2972,3.2708,3.5346,0.4548,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,pid,GDP-S3,7,profile,207.1221,361.4767,53.0148,0.3418,3.4444,4.4413,0.6419,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,pid,GDP-S3-EXT,10,constant,680.706,1223.4058,56.8003,1.3708,9.4929,23.5029,4.3915,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S1,0.5,constant,109.4927,196.8664,36.7475,0.0609,0.0775,0.1628,0.1587,400,false,max_travel_time,FAIL,PASS,FAIL
stanley,lqr,GDP-S2,2,constant,232.2486,405.6673,55.8244,0.0673,1.4929,0.7383,0.0999,250,false,max_travel_time,FAIL,PASS,FAIL
stanley,lqr,GDP-S3,3,profile,158.9485,250.7793,61.8672,0.1379,2.4534,1.8199,0.1585,250,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S3,4,profile,158.4866,266.5769,55.8246,0.2409,2.9908,2.8051,0.343,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S3,5,profile,154.7324,262.0394,55.3533,0.2839,3.2708,3.5346,0.4584,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S3,7,profile,207.4107,361.8599,53.0256,0.3257,3.4444,4.4413,0.6422,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley,lqr,GDP-S3-EXT,10,constant,680.5602,1223.2977,56.691,1.3194,9.4929,23.5029,4.3987,150,false,max_travel_time,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S1,0.5,constant,8.631,26.6655,50.6271,0.0523,0.0772,0.3469,0.2658,400,false,max_travel_time,FAIL,PASS,FAIL
pure_pursuit,pid,GDP-S2,2,constant,0.6031,2.0205,3.0314,0.0812,1.4929,0.7375,0.1064,174.85,true,goal_reached,FAIL,PASS,FAIL
pure_pursuit,pid,GDP-S3,3,profile,0.4957,1.2942,8.7909,0.1485,2.4534,1.8206,0.1754,250,false,max_travel_time,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S3,4,profile,0.6746,2.0235,3.3756,0.2632,2.9908,2.8079,0.3582,139.75,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S3,5,profile,0.6899,2.0276,3.456,0.3169,3.2708,3.5398,0.4911,134,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S3,7,profile,0.8548,2.5053,4.14,0.4362,3.4444,4.4396,0.8198,93.4,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,pid,GDP-S3-EXT,10,constant,1.1286,4.1162,7.6306,2.854,9.4929,23.5221,9.0665,34.9,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S1,0.5,constant,8.6129,26.6276,50.6266,0.051,0.0736,0.1607,0.126,400,false,max_travel_time,FAIL,PASS,FAIL
pure_pursuit,lqr,GDP-S2,2,constant,0.6033,2.0266,3.0388,0.0798,1.4929,0.7375,0.1023,174.85,true,goal_reached,FAIL,PASS,FAIL
pure_pursuit,lqr,GDP-S3,3,profile,0.496,1.2922,8.7922,0.1447,2.4534,1.8206,0.1683,250,false,max_travel_time,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S3,4,profile,0.675,2.0228,3.395,0.2485,2.9908,2.8079,0.3578,139.7,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S3,5,profile,0.6908,2.0391,3.4598,0.2991,3.2708,3.5398,0.4884,133.95,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S3,7,profile,0.8547,2.4992,4.136,0.413,3.4444,4.4396,0.8133,93.3,true,goal_reached,FAIL,FAIL,FAIL
pure_pursuit,lqr,GDP-S3-EXT,10,constant,1.3589,4.8337,8.4507,2.7509,9.4929,23.5221,9.0745,34.95,true,goal_reached,FAIL,FAIL,FAIL
mpc,pid,GDP-S1,0.5,constant,0.1707,0.3041,25.564,0.0192,0.0823,0.2042,0.1057,400,false,max_travel_time,PASS,PASS,PASS
mpc,pid,GDP-S2,2,constant,0.0603,0.2068,2.0089,0.0807,1.4929,0.7396,0.1103,177.85,true,goal_reached,PASS,PASS,PASS
mpc,pid,GDP-S3,3,profile,0.0486,0.1099,8.6271,0.1444,2.4534,1.8216,0.1696,250,false,max_travel_time,PASS,FAIL,FAIL
